frame,xmin,ymin,xmax,ymax,scaled_xmin,scaled_ymin,scaled_xmax,scaled_ymax
0,585,184,600,266,1210.95,172.5,1242,249.375

0,213,155,261,305,440.91,145.3125,540.27,285.9375

0,268,206,286,238,554.76,193.125,592.02,223.125

0,118,202,129,232,244.26,189.375,267.03,217.5

0,404,215,431,248,836.28,201.5625,892.17,232.5

0,81,210,95,235,167.67,196.875,196.65,220.3125

0,517,16,569,68,1070.19,15,1177.83,63.75

0,230,172,274,235,476.1,161.25,567.18,220.3125

0,189,172,219,234,391.23,161.25,453.33,219.375

0,521,70,549,105,1078.47,65.625,1136.43,98.4375

0,102,204,114,234,211.14,191.25,235.98,219.375

0,528,187,546,253,1092.96,175.3125,1130.22,237.1875

0,465,215,500,255,962.55,201.5625,1035,239.0625

0,397,147,449,213,821.79,137.8125,929.43,199.6875

0,219,156,291,307,453.33,146.25,602.37,287.8125

0,0,183,19,251,0,171.5625,39.33,235.3125

0,571,184,598,267,1181.97,172.5,1237.86,250.3125

0,545,177,577,270,1128.15,165.9375,1194.39,253.125

0,399,170,469,299,825.93,159.375,970.83,280.3125

0,289,167,348,303,598.23,156.5625,720.36,284.0625

0,140,147,236,309,289.8,137.8125,488.52,289.6875

0,496,1,520,61,1184.676923,0.9375,1242,57.1875

0,680,168,730,209,1099.6875,109.375,1180.546875,136.0677083

0,57,197,90,233,92.1796875,128.2552083,145.546875,151.6927083

0,530,148,768,315,857.109375,96.35416667,1242,205.078125

0,2,177,294,322,3.234375,115.234375,475.453125,209.6354167

0,181,119,247,158,362.583871,108.0508475,494.7967742,143.4624697

0,308,53,336,126,616.9935484,48.12348668,673.083871,114.4067797

0,362,110,439,181,725.1677419,99.87893462,879.416129,164.346247

0,441,152,555,247,883.4225806,138.0145278,1111.790323,224.2736077

0,1,118,175,246,2.003225806,107.1428571,350.5645161,223.3656174

0,176,128,434,247,352.5677419,116.2227603,869.4,224.2736077

0,6,165,60,192,8.871428571,147.3214286,88.71428571,171.4285714

0,0,161,13,189,0,143.75,19.22142857,168.75

0,78,159,101,203,115.3285714,141.9642857,149.3357143,181.25

0,175,53,607,315,258.75,47.32142857,897.4928571,281.25

0,3,158,34,191,4.435714286,141.0714286,50.27142857,170.5357143

0,58,164,86,202,85.75714286,146.4285714,127.1571429,180.3571429

0,94,152,138,205,138.9857143,135.7142857,204.0428571,183.0357143

0,31,169,59,192,45.83571429,150.8928571,87.23571429,171.4285714

0,136,160,185,208,201.0857143,142.8571429,273.5357143,185.7142857

0,559,132,729,267,826.5214286,117.8571429,1077.878571,238.3928571

0,716,67,840,273,1058.657143,59.82142857,1242,243.75

0,279,39,298,51,502.2,31.79347826,536.4,41.57608696

0,261,40,278,50,469.8,32.60869565,500.4,40.76086957

0,200,5,223,37,360,4.076086957,401.4,30.16304348

0,94,36,118,72,169.2,29.34782609,212.4,58.69565217

0,325,59,344,88,585,48.09782609,619.2,71.73913043

0,46,33,65,73,82.8,26.90217391,117,59.51086957

0,79,31,96,65,142.2,25.27173913,172.8,52.98913043

0,136,6,168,35,244.8,4.891304348,302.4,28.5326087

0,11,35,28,70,19.8,28.5326087,50.4,57.06521739

0,323,38,345,83,581.4,30.97826087,621,67.66304348

0,118,1,256,120,212.4,0.815217391,460.8,97.82608696

0,487,44,570,109,876.6,35.86956522,1026,88.85869565

0,0,552,68,875,0,191.6666667,104.2666667,303.8194444

0,13,223,810,789,19.93333333,77.43055556,1242,273.9583333

0,49,390,248,912,75.13333333,135.4166667,380.2666667,316.6666667

0,221,408,346,867,338.8666667,141.6666667,530.5333333,301.0416667

0,672,395,810,878,1030.4,137.1527778,1242,304.8611111

0,828,163,896,250,803.41875,84.89583333,869.4,130.2083333

0,884,0,1276,347,857.75625,0,1238.11875,180.7291667

0,777,158,837,250,753.9328125,82.29166667,812.1515625,130.2083333

0,581,147,817,330,563.7515625,76.5625,792.7453125,171.875

0,1255,0,1278,15,1217.742188,0,1240.059375,5.859375

